CountryName,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,Total,incidence,lab.conf
Austria,2,8,1,7,5,15,17,12,6,1,3,6,83,9.5,75
Belgium,0,3,1,1,6,9,11,24,22,3,11,14,105,9.2,85
Bulgaria,0,0,0,0,1,2,1,1,0,3,0,0,8,1.1,8
Croatia,0,0,0,0,0,0,1,2,16,3,1,0,23,5.5,23
Cyprus,0,0,0,5,6,4,0,0,0,0,0,0,15,17.6,15
Czech Republic,0,6,4,5,8,15,10,68,41,6,5,7,175,16.5,170
Denmark,0,0,0,0,0,3,0,0,0,0,1,2,6,1,6
Estonia,0,0,0,0,0,2,7,1,0,0,0,0,10,7.6,10
Finland,0,0,0,0,0,0,0,4,0,0,3,0,7,1.3,7
France,13,11,65,237,515,760,619,251,190,81,29,0,2771,41.4,1351
Germany,9,9,14,26,30,49,97,105,94,55,29,25,542,6.6,447
Greece,167,250,342,431,453,549,352,290,155,38,18,4,3049,283.1,1689
Hungary,1,0,0,2,5,6,0,0,0,0,0,0,14,1.4,14
Iceland,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1
Ireland,10,9,5,10,14,17,12,0,2,6,19,6,110,23,92
Italy,127,66,113,214,296,374,471,427,275,124,68,44,2599,42.9,2038
Latvia,0,0,0,7,7,1,0,2,3,1,1,0,22,11.3,22
Lithuania,0,0,0,0,0,0,0,0,0,1,1,0,2,0.7,2
Luxembourg,0,1,0,0,0,0,1,0,0,0,2,0,4,6.8,4
Malta,0,0,0,0,0,0,0,0,0,5,0,0,5,10.9,5
Netherlands,3,0,0,0,2,2,0,3,10,1,4,0,25,1.5,23
Norway,0,0,0,0,4,0,1,2,0,0,3,0,10,1.9,10
Poland,13,3,1,18,12,3,17,19,10,9,18,9,132,3.5,96
Portugal,0,0,0,0,4,108,13,0,3,1,3,3,135,13.1,126
Romania,264,339,329,101,102,105,111,104,111,100,92,63,1821,92.7,1482
Slovakia,0,0,5,1,0,0,3,18,72,257,87,28,471,86.7,291
Slovenia,0,0,1,2,0,0,0,3,3,0,0,0,9,4.4,9
Spain,0,1,11,6,14,53,51,41,25,15,6,5,228,4.9,217
Sweden,2,0,11,17,2,2,2,4,3,3,2,4,52,5.2,52
United Kingdom,22,65,46,55,81,148,201,154,99,82,52,14,1019,15.5,1019
EU/EEA,633,772,949,1145,1567,2227,1998,1535,1140,795,458,234,13453,26,9389
