Datum;Argentinierstraﬂe;Donaukanalweg;Langobardenstraﬂe;Lassallestraﬂe;Liesingbachradweg;Neubaug¸rtel;Opernring innen;Opernring auﬂen;Linke Wienzeile;Margaritensteg;Operngasse;Praterstern;Opernring
20160101;164;87;75;176;28;144;348;145;79;71;353;282;493
20160102;188;106;55;154;59;240;363;246;112;124;459;268;609
20160103;179;92;42;166;38;180;287;223;73;109;306;256;510
20160104;379;126;66;296;49;282;474;272;101;119;668;434;746
20160105;236;73;46;176;37;178;343;230;84;244;489;285;573
20160106;176;99;41;148;24;138;241;105;43;72;282;152;346
20160107;675;194;125;441;63;475;737;503;193;256;1226;729;1240
20160108;843;347;147;563;83;689;1058;655;365;355;1599;970;1713
20160109;381;197;89;211;62;421;571;321;116;234;719;366;892
20160110;314;247;87;238;64;291;546;297;150;204;639;430;843
20160111;1044;262;204;735;119;762;1127;781;271;356;1945;1104;1908
20160112;1335;497;224;922;194;1016;1616;1079;455;559;2491;1519;2695
20160113;1315;368;186;754;146;878;1465;989;400;530;2426;1332;2454
20160114;1357;489;262;880;199;1020;1685;1149;476;486;2474;1443;2834
20160115;1200;380;186;823;171;830;1321;894;407;420;2216;1248;2215
20160116;426;275;70;314;67;503;718;407;163;251;895;546;1125
20160117;356;269;77;272;59;403;543;317;161;174;605;500;860
20160118;1104;323;216;711;107;858;1304;850;320;426;2078;1194;2154
20160119;1145;276;177;655;107;806;1228;907;312;430;2022;1172;2135
20160120;1080;231;187;575;106;765;1252;887;330;415;2123;1050;2139
20160121;805;199;149;499;63;534;960;646;243;319;1455;883;1606
20160122;864;257;136;482;75;578;1042;663;257;307;1541;873;1705
20160123;205;109;47;136;26;189;358;167;78;125;393;248;525
20160124;249;181;55;187;28;248;458;222;115;139;455;315;680
20160125;693;123;81;376;52;526;764;546;194;226;1267;737;1310
20160126;1370;476;209;879;160;982;1771;1072;472;559;2468;1573;2843
20160127;1488;478;231;952;184;1060;1867;1183;564;549;2830;1554;3050
20160128;1495;544;249;948;204;988;1946;1282;528;645;2808;1593;3228
20160129;923;332;158;552;90;708;851;500;321;492;1560;1070;1351
20160130;517;660;111;491;117;618;946;461;325;342;984;744;1407
20160131;291;286;73;299;52;333;578;293;162;214;568;543;871
20160201;797;232;129;526;81;657;835;733;283;332;1342;926;1568
20160202;1196;518;214;922;165;998;1361;1340;441;480;2145;1500;2701
20160203;760;203;132;618;91;564;765;820;254;319;1194;934;1585
20160204;1046;337;164;725;124;785;1035;1115;361;430;1792;1179;2150
20160205;805;296;169;650;90;644;964;816;277;342;1411;1032;1780
20160206;577;764;135;738;168;640;1168;520;468;473;1038;938;1688
20160207;611;1112;241;1145;285;583;1336;603;620;444;912;1203;1939
20160208;1467;525;311;1115;229;1061;1784;1132;612;633;2528;1768;2916
20160209;1568;630;285;1147;250;1185;1992;1224;588;593;2646;1879;3216
20160210;774;176;167;487;72;582;904;609;239;229;1279;860;1513
20160211;1381;468;210;908;173;1020;1582;1086;477;533;2295;1526;2668
20160212;1159;444;195;897;169;863;1365;961;470;464;1887;1374;2326
20160213;624;619;190;699;195;734;1134;655;413;430;1060;865;1789
20160214;422;464;112;424;137;387;658;383;259;233;576;604;1041
20160215;1336;363;261;861;147;915;1369;938;443;460;2042;1431;2307
20160216;1432;505;241;923;167;1060;1654;1115;492;525;1861;1591;2769
20160217;1121;291;186;619;95;752;1156;820;328;370;1816;1107;1976
20160218;1002;209;159;624;92;662;1002;745;302;329;1643;1003;1747
20160219;703;176;108;428;85;525;744;545;221;268;1215;746;1289
20160220;656;797;160;784;211;714;1090;577;480;444;1029;975;1667
20160221;503;472;125;449;97;453;812;403;245;256;784;661;1215
20160222;1775;936;344;1521;391;1333;2223;1381;913;768;2577;2128;3604
20160223;1524;470;262;1016;200;1091;1691;1201;532;545;2475;1633;2892
20160224;1555;587;270;1081;218;1198;1914;1240;575;641;2741;1698;3154
20160225;1420;486;251;885;218;1003;1653;1139;517;583;2437;1534;2792
20160226;1339;604;289;1010;212;1032;1606;1029;565;640;1928;1586;2635
20160227;639;578;161;523;140;681;1022;555;370;423;1046;776;1577
20160228;633;725;149;627;239;556;1034;519;364;341;892;854;1553
20160229;883;182;128;485;89;570;897;604;233;277;1282;918;1501
20160301;991;184;149;523;99;640;1005;724;253;371;1432;986;1729
20160302;1516;477;257;958;219;1062;1753;1125;485;565;2141;1662;2878
20160303;1071;224;164;573;101;739;1331;833;302;401;1879;1108;2164
20160304;1434;523;282;941;194;1086;1733;1057;494;556;2025;1483;2790
20160305;759;946;196;932;296;893;1392;679;595;540;1430;1204;2071
20160306;717;841;202;855;168;619;1295;647;465;430;1177;1145;1942
20160307;1237;286;208;796;137;848;1350;919;389;384;2188;1333;2269
20160308;1294;318;198;746;135;909;1607;1010;381;527;2377;1407;2617
20160309;1627;582;294;1093;247;1278;2156;1322;628;766;2553;1838;3478
20160310;1691;715;281;1187;240;1278;2414;1353;662;767;3054;1953;3767
20160311;1370;420;229;838;174;993;1610;979;492;557;2143;1407;2589
20160312;650;441;123;504;148;647;1037;595;316;418;1179;898;1632
20160313;534;677;152;524;126;497;864;550;325;302;921;845;1414
20160314;1696;704;353;1232;311;1256;2243;1339;730;762;3226;1849;3582
20160315;829;165;109;472;90;579;1002;667;248;325;1518;884;1669
20160316;1267;331;208;793;122;838;1627;1025;429;556;2156;1331;2652
20160317;1931;889;315;1533;265;1370;2590;1419;797;888;3048;2174;4009
20160318;1818;1139;396;1639;418;1472;2770;1434;903;927;3237;2322;4204
20160319;689;648;199;738;267;885;1518;672;534;536;1554;1079;2190
20160320;767;1492;308;1467;426;766;1786;703;857;735;1417;1585;2489
20160321;1526;728;340;1385;327;1222;2101;1153;708;738;2745;1915;3254
20160322;1330;593;307;1164;229;1136;1905;1072;563;600;2519;1655;2977
20160323;1407;737;346;1176;275;1105;2014;1169;678;730;2633;1851;3183
20160324;1159;456;230;940;189;943;1670;902;497;549;2019;1428;2572
20160325;979;733;251;1016;294;887;1465;783;547;576;1654;1369;2248
20160326;461;453;148;497;160;496;1108;426;340;391;950;667;1534
20160327;623;1579;361;1713;546;598;1875;485;894;684;1251;1460;2360
20160328;847;1610;386;1848;615;685;2087;596;976;750;1486;1855;2683
20160329;1588;835;373;1502;375;1333;2449;1354;791;876;2846;2290;3803
20160330;2191;1217;459;2281;428;1600;3152;1576;1129;1024;3875;2996;4728
20160331;2650;1986;618;3187;777;2101;4319;2106;1582;1588;4690;3798;6425
20160401;1974;940;438;1955;401;1638;2742;1420;928;914;3424;2626;4162
20160402;1235;1429;338;1720;496;1306;3414;1351;1033;1172;2633;2072;4765
20160403;1877;3283;682;3850;1289;1443;5736;1851;2070;1724;3975;3788;7587
20160404;2953;1826;721;3043;720;2423;4707;2257;1589;1569;5300;3981;6964
20160405;3346;2265;874;3594;817;2684;5890;2225;1834;1962;6000;4566;8115
20160406;2981;1467;659;2639;550;2317;5031;1825;1454;1522;5317;3728;6856
20160407;2747;1150;580;2288;431;2134;4490;1722;1211;1356;4965;3261;6212
20160408;1326;388;218;861;181;910;1701;813;486;463;2248;1475;2514
20160409;643;257;119;563;133;645;1188;450;258;388;1088;752;1638
20160410;950;1083;211;1187;312;936;1853;929;784;682;1582;1779;2782
20160411;2417;991;459;1942;477;1875;3623;1561;1110;1107;4342;2869;5184
20160412;2680;1395;513;2263;571;2191;4336;1707;1327;1348;4804;3161;6043
20160413;3067;1974;657;2919;836;2344;5042;1874;1584;1608;5598;3877;6916
20160414;2355;760;370;1665;313;1767;3580;1694;914;1049;4519;2623;5274
20160415;2570;1541;553;2376;563;2026;4531;1992;1288;1339;4755;3292;6523
20160416;1840;3169;591;3439;1000;1673;4470;1721;1673;1630;3430;3580;6191
20160417;1504;2999;733;3225;1099;1304;4173;1400;1608;1478;2750;3359;5573
20160418;1329;378;236;965;150;1046;1787;919;501;521;2361;1507;2706
20160419;2811;1601;549;2561;554;2203;4233;2100;1400;1393;5228;3497;6333
20160420;2766;1670;615;2687;629;2308;4511;2265;1552;1535;5504;3815;6776
20160421;3137;2223;692;3242;805;2513;5190;2580;1763;1776;5939;4168;7770
20160422;2978;2232;742;3318;807;2203;4945;2414;1690;1740;5346;4249;7359
20160423;1181;1416;330;1351;403;1226;2451;1132;809;983;2244;1754;3583
20160424;788;791;163;828;209;777;1406;694;470;483;1414;1178;2100
20160425;1874;603;312;1154;269;1354;2334;1335;718;698;3864;1905;3669
20160426;2237;1072;455;1727;433;1735;3155;1812;1025;1107;5020;2552;4967
20160427;1307;282;156;642;102;895;1591;898;343;481;2659;1206;2489
20160428;2274;1108;389;1643;377;1689;3092;1842;965;1073;5024;2491;4934
20160429;2456;1609;544;2237;601;1995;3595;1905;1299;1280;5541;3013;5500
20160430;1531;2991;635;3089;847;1584;3557;1628;1752;1537;4685;3235;5185
20160501;1099;1627;372;1852;462;985;2544;1066;1006;849;3289;2200;3610
20160502;2216;984;442;1824;345;1747;2849;1643;1348;1114;4668;2496;4492
20160503;2377;1054;464;1888;403;1769;3315;2027;1297;1139;5387;2776;5342
20160504;1147;282;152;660;106;925;1411;886;390;428;2401;1153;2297
20160505;1204;2097;332;2115;799;1198;2664;1130;1257;1010;3488;2189;3794
20160506;2492;2727;692;3467;862;2077;4776;2511;1903;1796;6817;3913;7287
20160507;1936;3239;689;4154;871;1700;4632;1961;1713;1690;5964;4091;6593
20160508;1701;3176;701;4089;1400;1344;4453;1816;1810;1536;5575;3971;6269
20160509;3500;2009;786;3676;828;2568;5349;2958;2205;1809;8228;4634;8307
20160510;3241;1692;630;2671;560;2278;4577;2665;1804;1561;7318;3747;7242
20160511;2981;1617;529;2282;459;2156;4208;2512;1431;1486;6764;3480;6720
20160512;1014;329;144;730;85;727;1254;804;349;391;2144;1149;2058
20160513;1686;690;275;1177;245;1265;2451;1387;704;778;3851;1941;3838
20160514;1052;1390;298;1620;374;1143;2412;1138;889;972;3214;1878;3550
20160515;1006;1357;341;1766;361;865;2012;957;937;810;2775;1892;2969
20160516;873;1096;218;991;418;806;1264;990;783;608;2174;1341;2254
20160517;2113;1306;418;1869;482;1830;2493;2365;1186;1068;4854;2639;4858
20160518;2885;1711;651;2670;604;2339;4134;2636;1663;1516;6730;3643;6770
20160519;3115;1856;654;2840;566;2300;4568;2813;1703;1607;7316;3868;7381
20160520;2747;1704;555;2796;540;2200;4713;2498;1454;1603;6949;3651;7211
20160521;1984;3597;738;4882;1020;2097;4689;2160;1906;1767;6160;4440;6849
20160522;2230;4124;965;6342;1218;1790;4754;2175;2152;1792;6412;5372;6929
20160523;3454;2037;805;3695;884;2636;5281;2901;2033;1817;8121;4574;8182
20160524;1393;500;189;859;151;1071;1749;1135;526;642;2979;1893;2884
20160525;2671;1439;574;2362;464;2012;4041;2278;1361;1308;6271;3173;6319
20160526;1853;4128;854;4618;1465;2090;4244;1879;2719;1977;5580;4141;6123
20160527;2355;2124;650;3221;1024;2115;4756;2571;1673;1576;6756;3792;7327
20160528;1827;2937;713;4735;1503;1643;4273;2009;1611;1511;5659;4233;6282
20160529;1858;3671;883;5700;1820;1461;4150;1799;1702;1562;5458;4784;5949
20160530;3177;1602;779;3011;953;2387;4543;2700;1883;1632;7275;4107;7243
20160531;2920;1590;651;2700;857;2297;4369;2606;1536;1601;6917;3695;6975
20160601;2906;1529;650;2550;538;2320;4228;2432;1398;1445;6007;3494;6660
20160602;2922;1676;632;2544;595;2340;4395;2580;1491;1572;6213;3743;6975
20160603;2701;1721;551;2565;619;2151;4551;2405;1386;1427;6062;3593;6956
20160604;1877;2755;614;3341;985;1920;4178;1911;1510;1507;5002;3617;6089
20160605;1609;3088;569;3369;1105;1308;3448;1558;1496;1298;4152;3239;5006
20160606;3599;2353;917;4245;846;2900;5915;3090;2233;1948;7909;5202;9005
20160607;4024;2846;974;5030;1019;3292;6634;3538;2479;2356;8914;5963;10172
20160608;4000;2713;1076;5143;972;3150;6567;3686;2440;2292;8948;5983;10253
20160609;3298;1649;723;3170;591;2534;5117;2915;1672;1697;7111;4179;8032
20160610;3050;2060;678;3509;731;2538;5623;2963;1787;1831;7305;4427;8586
20160611;1514;2429;612;2586;867;1850;3352;1770;1199;1300;4165;2878;5122
20160612;1028;1190;487;1845;416;941;2447;995;845;708;2803;2048;3442
